geo,name,time,Life expectancy
africa,Africa,1800,30.09
africa,Africa,1801,30.02
africa,Africa,1802,30.02
africa,Africa,1803,30.1
africa,Africa,1804,30.1
africa,Africa,1805,30.1
africa,Africa,1806,30.11
africa,Africa,1807,30.11
africa,Africa,1808,30.11
africa,Africa,1809,30.11
africa,Africa,1810,30.12
africa,Africa,1811,30.12
africa,Africa,1812,30.12
africa,Africa,1813,30.12
africa,Africa,1814,30.13
africa,Africa,1815,30.13
africa,Africa,1816,30.13
africa,Africa,1817,30.13
africa,Africa,1818,29.89
africa,Africa,1819,29.85
africa,Africa,1820,29.91
africa,Africa,1821,30.14
africa,Africa,1822,30.14
africa,Africa,1823,30.14
africa,Africa,1824,30.15
africa,Africa,1825,30.15
africa,Africa,1826,30.15
africa,Africa,1827,30.15
africa,Africa,1828,29.9
africa,Africa,1829,29.75
africa,Africa,1830,29.6
africa,Africa,1831,29.75
africa,Africa,1832,30.16
africa,Africa,1833,30.17
africa,Africa,1834,30.17
africa,Africa,1835,29.9
africa,Africa,1836,29.75
africa,Africa,1837,29.58
africa,Africa,1838,29.75
africa,Africa,1839,30.17
africa,Africa,1840,30.18
africa,Africa,1841,30.17
africa,Africa,1842,30.17
africa,Africa,1843,30.19
africa,Africa,1844,30.17
africa,Africa,1845,30.19
africa,Africa,1846,30.2
africa,Africa,1847,30.21
africa,Africa,1848,30.22
africa,Africa,1849,29.86
africa,Africa,1850,29.72
africa,Africa,1851,30.06
africa,Africa,1852,30.23
africa,Africa,1853,30.23
africa,Africa,1854,30.18
africa,Africa,1855,30.22
africa,Africa,1856,30.19
africa,Africa,1857,30.24
africa,Africa,1858,30.23
africa,Africa,1859,30.23
africa,Africa,1860,30.22
africa,Africa,1861,30.23
africa,Africa,1862,30.2
africa,Africa,1863,30.22
africa,Africa,1864,29.65
africa,Africa,1865,29.5
africa,Africa,1866,29.35
africa,Africa,1867,29.94
africa,Africa,1868,29.47
africa,Africa,1869,29.83
africa,Africa,1870,30.06
africa,Africa,1871,30.32
africa,Africa,1872,30.38
africa,Africa,1873,30.43
africa,Africa,1874,30.51
africa,Africa,1875,30.59
africa,Africa,1876,30.65
africa,Africa,1877,30.72
africa,Africa,1878,30.79
africa,Africa,1879,30.85
africa,Africa,1880,30.55
africa,Africa,1881,30.47
africa,Africa,1882,31.05
africa,Africa,1883,31.12
africa,Africa,1884,31.21
africa,Africa,1885,31.27
africa,Africa,1886,31.35
africa,Africa,1887,31.41
africa,Africa,1888,29.77
africa,Africa,1889,28.23
africa,Africa,1890,28.18
